Date,Open,High,Low,Close,Adj Close,Volume
29-06-2001,0.4225,0.448214,0.414286,0.415179,0.35596,515390400
02-07-2001,0.422143,0.432679,0.413214,0.426786,0.365911,230048000
03-07-2001,0.419821,0.431786,0.419643,0.425714,0.364992,112543200
05-07-2001,0.421429,0.424464,0.410893,0.414107,0.355041,152292000
06-07-2001,0.406429,0.41,0.387857,0.393393,0.337281,302920800
09-07-2001,0.394464,0.410714,0.387143,0.405357,0.347539,337467200
10-07-2001,0.409821,0.411964,0.372143,0.3775,0.323655,395270400
11-07-2001,0.375536,0.402679,0.375,0.4025,0.345089,470506400
12-07-2001,0.416071,0.443036,0.416071,0.435,0.372954,614801600
13-07-2001,0.430893,0.446607,0.425714,0.44375,0.380456,454742400
16-07-2001,0.444286,0.448214,0.426964,0.427857,0.36683,278667200
17-07-2001,0.428214,0.450357,0.410893,0.448214,0.384283,647830400
18-07-2001,0.388929,0.406786,0.364643,0.37125,0.318297,1137012800
19-07-2001,0.379107,0.3825,0.352679,0.356429,0.30559,861140000
20-07-2001,0.351786,0.358214,0.348036,0.356786,0.305896,444584000
23-07-2001,0.35875,0.366071,0.348393,0.348929,0.299159,241360000
24-07-2001,0.34625,0.355714,0.334464,0.340893,0.29227,348376000
25-07-2001,0.341429,0.344643,0.320893,0.329821,0.282777,443878400
26-07-2001,0.33,0.335714,0.31875,0.331964,0.284614,369140800
27-07-2001,0.334821,0.34375,0.330357,0.338571,0.290279,334135200
30-07-2001,0.341429,0.345714,0.330536,0.338036,0.28982,243359200
31-07-2001,0.344107,0.346786,0.330536,0.335536,0.287677,235026400
01-08-2001,0.339464,0.353214,0.338393,0.340357,0.29181,304136000
02-08-2001,0.350893,0.354821,0.343929,0.353929,0.303446,252089600
03-08-2001,0.355179,0.355357,0.339286,0.348214,0.298547,186054400
06-08-2001,0.34,0.351071,0.339286,0.341607,0.292882,99652000
07-08-2001,0.345179,0.35125,0.338929,0.34375,0.294719,168548800
08-08-2001,0.343929,0.351786,0.331071,0.3375,0.289361,276169600
09-08-2001,0.338571,0.341964,0.334286,0.340179,0.291658,200664800
10-08-2001,0.34,0.345,0.331964,0.339643,0.291198,186961600
13-08-2001,0.341071,0.345179,0.335,0.340893,0.29227,147996800
14-08-2001,0.342857,0.345714,0.333393,0.334464,0.286758,228950400
15-08-2001,0.335,0.338214,0.325,0.329286,0.282318,289279200
16-08-2001,0.32625,0.334821,0.320893,0.333036,0.285533,288092000
17-08-2001,0.321429,0.329464,0.32125,0.322679,0.276654,208426400
20-08-2001,0.323929,0.325536,0.318036,0.323571,0.277419,252302400
21-08-2001,0.323929,0.323929,0.316071,0.32,0.274357,185701600
22-08-2001,0.320357,0.325893,0.314464,0.325179,0.278797,173975200
23-08-2001,0.325,0.3275,0.313929,0.318036,0.272673,217078400
24-08-2001,0.321429,0.3325,0.315179,0.331607,0.284308,290332000
27-08-2001,0.332143,0.344643,0.324286,0.337857,0.289667,175644000
28-08-2001,0.3375,0.341786,0.328571,0.328571,0.281705,171735200
29-08-2001,0.329286,0.33625,0.318393,0.318393,0.272979,239971200
30-08-2001,0.316786,0.324643,0.308571,0.318393,0.272979,368692800
31-08-2001,0.316607,0.332143,0.315179,0.33125,0.284002,216904800
04-09-2001,0.330357,0.340714,0.324643,0.325893,0.279409,348213600
05-09-2001,0.325714,0.338393,0.323571,0.33125,0.284002,360057600
06-09-2001,0.328571,0.338036,0.315179,0.316429,0.271295,282368800
07-09-2001,0.3125,0.323214,0.307143,0.308571,0.264558,241830400
10-09-2001,0.303571,0.3125,0.302143,0.310179,0.265937,308845600
17-09-2001,0.285714,0.304821,0.280893,0.303393,0.260119,458007200
18-09-2001,0.301786,0.316429,0.28875,0.290714,0.249248,327101600
19-09-2001,0.294643,0.305357,0.278571,0.303929,0.260578,373318400
20-09-2001,0.290893,0.302679,0.276786,0.28,0.240062,411174400
21-09-2001,0.264286,0.290179,0.262143,0.280893,0.240828,570516800
24-09-2001,0.287679,0.300714,0.284821,0.29375,0.251851,294537600
25-09-2001,0.288214,0.289643,0.274107,0.2775,0.237919,374404800
26-09-2001,0.282321,0.28375,0.266607,0.270536,0.231948,493796800
27-09-2001,0.272321,0.28125,0.271429,0.276964,0.237459,322240800
28-09-2001,0.280536,0.284107,0.274821,0.276964,0.237459,365108800
01-10-2001,0.276607,0.285536,0.271964,0.2775,0.237919,208208000
02-10-2001,0.275536,0.282679,0.265714,0.26875,0.230417,235883200
03-10-2001,0.266964,0.274286,0.264821,0.2675,0.229345,683043200
04-10-2001,0.274107,0.290179,0.267679,0.283571,0.243124,401122400
05-10-2001,0.275,0.288393,0.267679,0.288214,0.247105,342686400
08-10-2001,0.278036,0.291964,0.276786,0.289286,0.248024,207984000
09-10-2001,0.286607,0.289286,0.279107,0.285714,0.244961,174025600
10-10-2001,0.2875,0.300893,0.284821,0.300357,0.257516,307759200
11-10-2001,0.302143,0.316786,0.300893,0.316786,0.271601,334163200
12-10-2001,0.309107,0.322857,0.301071,0.321607,0.275735,287812000
15-10-2001,0.320536,0.328214,0.320536,0.32125,0.275429,318752000
16-10-2001,0.323036,0.325,0.317321,0.321607,0.275735,202949600
17-10-2001,0.3275,0.32875,0.302857,0.303393,0.260119,285538400
18-10-2001,0.30875,0.325536,0.30875,0.321429,0.275582,612572800
19-10-2001,0.320357,0.328571,0.319286,0.326786,0.280175,166790400
22-10-2001,0.325179,0.340536,0.323036,0.339643,0.291198,391938400
23-10-2001,0.341429,0.346786,0.319107,0.323929,0.277725,684980800
24-10-2001,0.3225,0.340893,0.316964,0.338393,0.290126,374427200
25-10-2001,0.329286,0.34375,0.324286,0.342679,0.293801,254951200
26-10-2001,0.336786,0.34375,0.3325,0.333393,0.28584,278964000
29-10-2001,0.331607,0.333393,0.314286,0.314821,0.269917,239181600
30-10-2001,0.310357,0.321429,0.304643,0.314286,0.269458,276763200
31-10-2001,0.316607,0.328571,0.311429,0.313571,0.268845,273750400
01-11-2001,0.315179,0.335357,0.308036,0.331964,0.284614,312995200
02-11-2001,0.330714,0.336786,0.324286,0.331607,0.284308,197204000
05-11-2001,0.336429,0.34375,0.332321,0.340536,0.291964,235793600
06-11-2001,0.338571,0.350357,0.330893,0.349464,0.299618,316019200
07-11-2001,0.3475,0.359464,0.345179,0.349821,0.299924,382989600
08-11-2001,0.350536,0.355179,0.331607,0.334107,0.286452,342143200
09-11-2001,0.332143,0.34375,0.33125,0.334107,0.286452,134293600
12-11-2001,0.333214,0.342321,0.320714,0.334821,0.287064,201499200
13-11-2001,0.340714,0.34625,0.334107,0.345893,0.296557,224672000
14-11-2001,0.349821,0.355357,0.341964,0.350179,0.300231,221149600
15-11-2001,0.347321,0.355357,0.343393,0.347321,0.297781,213029600
16-11-2001,0.344107,0.344464,0.328571,0.33875,0.290432,230664000
19-11-2001,0.339286,0.358036,0.338571,0.357143,0.306202,332589600
20-11-2001,0.353929,0.360714,0.348214,0.34875,0.299006,276584000
21-11-2001,0.350179,0.353571,0.343929,0.351429,0.301303,201583200
23-11-2001,0.351964,0.35625,0.349464,0.354286,0.303752,60004000
26-11-2001,0.356071,0.384821,0.355,0.381607,0.327177,460689600
27-11-2001,0.378571,0.384286,0.366071,0.375,0.321512,268553600
28-11-2001,0.372321,0.37875,0.364464,0.366607,0.314316,250611200
29-11-2001,0.367857,0.369643,0.360536,0.364643,0.312632,202764800
30-11-2001,0.365536,0.382857,0.361607,0.380357,0.326105,303912000
03-12-2001,0.376071,0.38,0.367857,0.375893,0.322278,181165600
04-12-2001,0.375893,0.402857,0.37,0.4,0.342946,380419200
05-12-2001,0.399286,0.429107,0.395893,0.424286,0.363768,568579200
06-12-2001,0.419286,0.419643,0.395357,0.406786,0.348764,338934400
07-12-2001,0.401071,0.405536,0.392857,0.4025,0.345089,203515200
10-12-2001,0.398036,0.410536,0.396964,0.4025,0.345089,170010400
11-12-2001,0.404821,0.408036,0.386607,0.388929,0.333454,205475200
12-12-2001,0.390536,0.391429,0.379464,0.38375,0.329014,192460800
13-12-2001,0.38375,0.384821,0.366071,0.375,0.321512,197842400
14-12-2001,0.370179,0.371964,0.35875,0.364107,0.312173,189884800
17-12-2001,0.364286,0.375,0.360536,0.368214,0.315694,173712000
18-12-2001,0.373036,0.380893,0.361071,0.375179,0.321665,235239200
19-12-2001,0.3675,0.387143,0.365536,0.386071,0.331004,289956800
20-12-2001,0.382143,0.383393,0.368214,0.369107,0.316459,220864000
21-12-2001,0.375179,0.384643,0.371429,0.375,0.321512,256334400
24-12-2001,0.373214,0.383036,0.373214,0.381429,0.327024,50629600
26-12-2001,0.38125,0.398214,0.3775,0.38375,0.329014,146400800
27-12-2001,0.385357,0.397321,0.385357,0.394107,0.337894,191508800
28-12-2001,0.392321,0.410714,0.392143,0.400536,0.343406,299124000
31-12-2001,0.401964,0.404643,0.389821,0.391071,0.335291,137782400
02-01-2002,0.39375,0.416071,0.392143,0.416071,0.356725,529496800
03-01-2002,0.410714,0.424107,0.406607,0.421071,0.361012,612007200
04-01-2002,0.416786,0.427679,0.410536,0.423036,0.362696,409976000
